location,San Francisco,San Francisco,San Francisco,San Francisco
lat,37.99986,37.99986,37.99986,37.99986
lon,-122.34375,-122.34375,-122.34375,-122.34375
asl,60.343,60.343,60.343,60.343
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction
unit,°C,%,km/h,°
level,2 m elevation corrected,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,San Francisco Temperature [2 m elevation corrected],San Francisco Relative Humidity [2 m],San Francisco Wind Speed [10 m],San Francisco Wind Direction [10 m]
20210309T0000,8.448226,85.0,8.209263,195.25513
20210309T0100,8.3882265,85.0,7.42159,194.03624
20210309T0200,8.328226,86.0,6.5693827,189.46233
20210309T0300,8.228227,87.0,6.130579,183.36646
20210309T0400,8.158226,88.0,6.12,180.0
20210309T0500,6.4282265,93.0,3.2599385,173.6598
20210309T0600,6.4982266,92.0,3.4152596,161.56505
20210309T0700,7.0282264,90.0,4.3498964,155.55605
20210309T0800,7.858227,88.0,4.3498964,155.55605
20210309T0900,9.898226,78.0,7.5170207,163.30075
20210309T1000,9.808227,75.0,11.570515,174.64418
20210309T1100,9.498226,78.0,12.959999,180.0
20210309T1200,9.128226,85.0,13.441071,187.69604
20210309T1300,9.628226,82.0,13.708391,193.67131
20210309T1400,9.698226,80.0,14.917212,199.74684
20210309T1500,10.038226,77.0,16.267857,204.8637
20210309T1600,9.968226,75.0,16.434305,208.81079
20210309T1700,9.648226,76.0,16.676977,212.66092
20210309T1800,9.378226,77.0,15.496736,210.73549
20210309T1900,8.718226,81.0,12.55879,207.29958
20210309T2000,8.358226,84.0,10.24578,198.43495
20210309T2100,8.258226,86.0,9.178235,191.30994
20210309T2200,8.148227,87.0,8.287822,182.48955
20210309T2300,7.9382267,90.0,8.28,180.0
20210310T0000,7.7482266,93.0,7.92,180.0
20210310T0100,7.5982265,93.0,7.5685663,182.72632
20210310T0200,7.608227,92.0,7.928178,182.60257
20210310T0300,6.9782267,89.0,6.519877,173.6598
20210310T0400,6.5082264,89.0,7.072878,165.25644
20210310T0500,7.7382264,84.0,7.5942073,185.44034
20210310T0600,7.4882264,85.0,7.7043357,142.59465
20210310T0700,7.1182265,89.0,8.4963045,143.61565
20210310T0800,7.2282267,91.0,9.387651,147.52881
20210310T0900,8.078226,87.0,10.948973,152.59242
20210310T1000,8.688226,77.0,11.367109,169.04593
20210310T1100,9.258226,70.0,11.525623,181.78992
20210310T1200,9.598227,66.0,11.609651,187.12502
20210310T1300,9.868226,65.0,11.659777,188.88066
20210310T1400,9.968226,65.0,11.090103,193.13402
20210310T1500,9.8882265,65.0,9.904906,199.09349
20210310T1600,9.668226,66.0,8.654986,196.92752
